[2025-10-09 18:03:31] [INFO    ] discord.client: logging in using static token
[2025-10-09 18:03:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Ban_Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1425511612550348800', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1651', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '4f543a2797371932e1109b195f181df0', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1425516340764213250'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['madrid', 'milan', 'paris', 'frankfurt', 'london'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1425511612550348800', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-s9lh",{"micros":99047,"calls":["id_created",{"micros":363,"calls":[]},"session_lookup_time",{"micros":2476,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-67",{"micros":93831,"calls":["start_session",{"micros":86997,"calls":["discord-api-rpc-5b8bf7b4f8-gqhfd",{"micros":41590,"calls":["get_user",{"micros":5924},"get_guilds",{"micros":4647},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":338},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":37728},"apex_experiments",{"micros":228},"user_activities",{"micros":5},"played_application_ids",{"micros":3},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":43,"calls":[]},"presence_started",{"micros":324,"calls":[]},"guilds_started",{"micros":65,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":6375,"calls":[]},"connect_finished",{"micros":6383,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":4,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-10-09 18:03:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:32] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 4f543a2797371932e1109b195f181df0).
[2025-10-09 18:03:32] [DEBUG   ] discord.client: Dispatching event connect
[2025-10-09 18:03:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'activity_instances': [], 'default_message_notifications': 0, 'lazy': True, 'explicit_content_filter': 0, 'hub_type': None, 'roles': [{'version': 1759939980630, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1425516340764213250', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1760025593955, 'unicode_emoji': None, 'tags': {'bot_id': '1425511612550348800'}, 'position': 2, 'permissions': '563276639759428', 'name': 'Ban_Bot', 'mentionable': False, 'managed': True, 'id': '1425516756214087780', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1759945960212, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Gamer', 'mentionable': False, 'managed': False, 'id': '1425541324828049458', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 1752220}, 'color': 1752220}], 'banner': None, 'channels': [{'version': 1759939980639, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Salons textuels', 'id': '1425516341540163805', 'flags': 0}, {'version': 1759939980648, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Salons vocaux', 'id': '1425516341540163806', 'flags': 0}, {'version': 1759939980660, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1425516341540163805', 'name': 'général', 'last_message_id': '1425876195794354358', 'id': '1425516341540163807', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1759939980667, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1425516341540163806', 'name': 'Général', 'last_message_id': None, 'id': '1425516341540163808', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1759954177444, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1425516341540163805', 'name': 'secret_channel', 'last_message_id': '1425875461392568552', 'id': '1425575887260352653', 'flags': 0}], 'presences': [], 'vanity_url_code': None, 'profile': None, 'features': [], 'stickers': [], 'verification_level': 0, 'afk_timeout': 300, 'home_header': None, 'id': '1425516340764213250', 'stage_instances': [], 'owner_configured_content_level': 0, 'emojis': [], 'name': 'TestBot', 'premium_progress_bar_enabled': False, 'splash': None, 'system_channel_id': '1425516341540163807', 'soundboard_sounds': [], 'threads': [], 'unavailable': False, 'description': None, 'preferred_locale': 'en-US', 'voice_states': [], 'member_count': 3, 'owner_id': '1026035117954703461', 'nsfw_level': 0, 'mfa_level': 0, 'discovery_splash': None, 'nsfw': False, 'premium_features': None, 'moderator_reporting': None, 'inventory_settings': None, 'embedded_activities': [], 'joined_at': '2025-10-08T16:14:39.522000+00:00', 'max_video_channel_users': 25, 'premium_tier': 0, 'application_command_counts': {}, 'afk_channel_id': None, 'premium_subscription_count': 0, 'incidents_data': None, 'system_channel_flags': 0, 'safety_alerts_channel_id': None, 'large': False, 'members': [{'user': {'username': 'Ban_Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1425511612550348800', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1651', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1425516756214087780'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-08T16:14:39.522000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'rules_channel_id': None, 'application_id': None, 'latest_onboarding_question_id': None, 'version': 1759945925437, 'region': 'deprecated', 'max_members': 25000000, 'icon': None, 'max_stage_video_channel_users': 50, 'guild_scheduled_events': [], 'public_updates_channel_id': None}}
[2025-10-09 18:03:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '025c4a96b5349ab0d1adf4d6920ed335', 'members': [{'user': {'username': 'saidaninour', 'public_flags': 0, 'primary_guild': None, 'id': '1026035117954703461', 'global_name': 'Saidani Nour', 'display_name_styles': None, 'display_name': 'Saidani Nour', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '67dcf1cd68cf1d3a725742281432da5e'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-08T16:13:00.535000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'saidanimalak', 'public_flags': 0, 'primary_guild': None, 'id': '1075126436878368848', 'global_name': 'malak saidani', 'display_name_styles': None, 'display_name': 'malak saidani', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'a3fb6230f38a547dc89e9cd3a913abef'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-09T16:02:56.458932+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Ban_Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1425511612550348800', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1651', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1425516756214087780'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-08T16:14:39.522000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1425516340764213250', 'chunk_index': 0, 'chunk_count': 1}}
[2025-10-09 18:03:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:32] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1425516340764213250.
[2025-10-09 18:03:34] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-10-09 18:03:34] [DEBUG   ] discord.client: Dispatching event ready
[2025-10-09 18:03:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '1075126436878368848', 'timestamp': 1760025819, 'member': {'user': {'username': 'saidanimalak', 'public_flags': 0, 'primary_guild': None, 'id': '1075126436878368848', 'global_name': 'malak saidani', 'display_name_styles': None, 'display_name': 'malak saidani', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'a3fb6230f38a547dc89e9cd3a913abef'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-09T16:02:56.458932+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1425516341540163807', 'guild_id': '1425516340764213250'}}
[2025-10-09 18:03:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:39] [DEBUG   ] discord.client: Dispatching event typing
[2025-10-09 18:03:39] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-10-09 18:03:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-09T16:03:39.976000+00:00', 'pinned': False, 'nonce': '1425876376447090688', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-09T16:02:56.458932+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1425876377827147869', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'UWAEIQUWADG', 'components': [], 'channel_type': 0, 'channel_id': '1425516341540163807', 'author': {'username': 'saidanimalak', 'public_flags': 0, 'primary_guild': None, 'id': '1075126436878368848', 'global_name': 'malak saidani', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'a3fb6230f38a547dc89e9cd3a913abef'}, 'attachments': [], 'guild_id': '1425516340764213250'}}
[2025-10-09 18:03:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:39] [DEBUG   ] discord.client: Dispatching event message
[2025-10-09 18:03:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '1075126436878368848', 'timestamp': 1760025825, 'member': {'user': {'username': 'saidanimalak', 'public_flags': 0, 'primary_guild': None, 'id': '1075126436878368848', 'global_name': 'malak saidani', 'display_name_styles': None, 'display_name': 'malak saidani', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'a3fb6230f38a547dc89e9cd3a913abef'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-09T16:02:56.458932+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1425575887260352653', 'guild_id': '1425516340764213250'}}
[2025-10-09 18:03:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:44] [DEBUG   ] discord.client: Dispatching event typing
[2025-10-09 18:03:44] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-10-09 18:03:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-09T16:03:50.887000+00:00', 'pinned': False, 'nonce': '1425876421271617536', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-09T16:02:56.458932+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1425876423591202886', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'BBBBBB', 'components': [], 'channel_type': 0, 'channel_id': '1425575887260352653', 'author': {'username': 'saidanimalak', 'public_flags': 0, 'primary_guild': None, 'id': '1075126436878368848', 'global_name': 'malak saidani', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'a3fb6230f38a547dc89e9cd3a913abef'}, 'attachments': [], 'guild_id': '1425516340764213250'}}
[2025-10-09 18:03:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:50] [DEBUG   ] discord.client: Dispatching event message
[2025-10-09 18:03:51] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1425575887260352653/messages with None has returned 200
[2025-10-09 18:03:51] [DEBUG   ] discord.http: GET /channels/{channel_id}/messages has found its initial rate limit bucket hash (479c05630b7b353bb5c63f707eeef2ee).
[2025-10-09 18:03:51] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1425575887260352653/messages has received [{'type': 0, 'content': 'BBBBBB', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-09T16:03:50.887000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1425876423591202886', 'channel_id': '1425575887260352653', 'author': {'id': '1075126436878368848', 'username': 'saidanimalak', 'avatar': 'a3fb6230f38a547dc89e9cd3a913abef', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'malak saidani', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}]
[2025-10-09 18:03:51] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1425575887260352653/messages/1425876423591202886 with None has returned 204
[2025-10-09 18:03:51] [DEBUG   ] discord.http: DELETE /channels/{channel_id}/messages/{message_id}:sub-10-seconds has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-10-09 18:03:51] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1425575887260352653/messages/1425876423591202886 has received 
[2025-10-09 18:03:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 8, 'op': 0, 'd': {'id': '1425876423591202886', 'channel_id': '1425575887260352653', 'guild_id': '1425516340764213250'}}
[2025-10-09 18:03:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:51] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-10-09 18:03:51] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-10-09 18:03:51] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels with {"recipient_id":1075126436878368848} has returned 200
[2025-10-09 18:03:51] [DEBUG   ] discord.http: POST /users/@me/channels has found its initial rate limit bucket hash (3f1ecb90c49938368145d0f8794b2707).
[2025-10-09 18:03:51] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels has received {'id': '1425875467487154267', 'type': 1, 'last_message_id': None, 'flags': 0, 'recipients': [{'id': '1075126436878368848', 'username': 'saidanimalak', 'avatar': 'a3fb6230f38a547dc89e9cd3a913abef', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'malak saidani', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]}
[2025-10-09 18:03:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-09T16:03:52.628000+00:00', 'pinned': False, 'nonce': '6961600778358358860', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1425876430893617384', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'You have been banned from TestBot for sending a message in the protected channel.', 'components': [], 'channel_type': 1, 'channel_id': '1425875467487154267', 'author': {'username': 'Ban_Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1425511612550348800', 'global_name': None, 'display_name_styles': None, 'discriminator': '1651', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': []}}
[2025-10-09 18:03:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:52] [DEBUG   ] discord.client: Dispatching event message
[2025-10-09 18:03:52] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1425875467487154267/messages with {"content":"You have been banned from TestBot for sending a message in the protected channel.","components":[],"nonce":"6961600778358358860","enforce_nonce":true,"tts":false} has returned 200
[2025-10-09 18:03:52] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-10-09 18:03:52] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1425875467487154267/messages has received {'type': 0, 'content': 'You have been banned from TestBot for sending a message in the protected channel.', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-09T16:03:52.628000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1425876430893617384', 'channel_id': '1425875467487154267', 'author': {'id': '1425511612550348800', 'username': 'Ban_Bot', 'avatar': None, 'discriminator': '1651', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '6961600778358358860'}
[2025-10-09 18:03:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-09T16:03:53.040000+00:00', 'pinned': False, 'nonce': '17160939338436908765', 'mentions': [{'username': 'saidanimalak', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-09T16:02:56.458932+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1075126436878368848', 'global_name': 'malak saidani', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'a3fb6230f38a547dc89e9cd3a913abef'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1425516756214087780'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-08T16:14:39.522000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1425876432621404191', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'User <@1075126436878368848> has been banned for sending a message in this protected channel.', 'components': [], 'channel_type': 0, 'channel_id': '1425575887260352653', 'author': {'username': 'Ban_Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1425511612550348800', 'global_name': None, 'display_name_styles': None, 'discriminator': '1651', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1425516340764213250'}}
[2025-10-09 18:03:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:52] [DEBUG   ] discord.client: Dispatching event message
[2025-10-09 18:03:53] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1425575887260352653/messages with {"content":"User <@1075126436878368848> has been banned for sending a message in this protected channel.","components":[],"nonce":"17160939338436908765","enforce_nonce":true,"tts":false} has returned 200
[2025-10-09 18:03:53] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1425575887260352653/messages has received {'type': 0, 'content': 'User <@1075126436878368848> has been banned for sending a message in this protected channel.', 'mentions': [{'id': '1075126436878368848', 'username': 'saidanimalak', 'avatar': 'a3fb6230f38a547dc89e9cd3a913abef', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'malak saidani', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-09T16:03:53.040000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1425876432621404191', 'channel_id': '1425575887260352653', 'author': {'id': '1425511612550348800', 'username': 'Ban_Bot', 'avatar': None, 'discriminator': '1651', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '17160939338436908765'}
[2025-10-09 18:03:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_BAN_ADD', 's': 11, 'op': 0, 'd': {'user': {'username': 'saidanimalak', 'public_flags': 0, 'primary_guild': None, 'id': '1075126436878368848', 'global_name': 'malak saidani', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'a3fb6230f38a547dc89e9cd3a913abef'}, 'guild_id': '1425516340764213250', 'delete_message_secs': 86400}}
[2025-10-09 18:03:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:53] [DEBUG   ] discord.client: Dispatching event member_ban
[2025-10-09 18:03:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_REMOVE', 's': 12, 'op': 0, 'd': {'user': {'username': 'saidanimalak', 'public_flags': 0, 'primary_guild': None, 'id': '1075126436878368848', 'global_name': 'malak saidani', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'a3fb6230f38a547dc89e9cd3a913abef'}, 'guild_id': '1425516340764213250'}}
[2025-10-09 18:03:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-09 18:03:53] [DEBUG   ] discord.client: Dispatching event member_remove
[2025-10-09 18:03:53] [DEBUG   ] discord.client: Dispatching event raw_member_remove
[2025-10-09 18:03:53] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/guilds/1425516340764213250/bans/1075126436878368848 with None has returned 204
[2025-10-09 18:03:53] [DEBUG   ] discord.http: PUT /guilds/{guild_id}/bans/{user_id} has found its initial rate limit bucket hash (64962a2b000b0430fef9f07cc33fa8ca).
[2025-10-09 18:03:53] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/guilds/1425516340764213250/bans/1075126436878368848 has received 
[2025-10-09 18:03:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE_BULK', 's': 13, 'op': 0, 'd': {'ids': ['1425876377827147869', '1425876195794354358'], 'channel_id': '1425516341540163807', 'guild_id': '1425516340764213250'}}
[2025-10-09 18:03:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
